Replicate,Date,Days,Wt_Loss,Species,Origin,Invasion
AL1,01-02-2013,0,4.6,Albizia lebbeck,Native,Native
AL1,01-04-2013,60,3.38,Albizia lebbeck,Native,Native
AL1,31-05-2013,120,2.71,Albizia lebbeck,Native,Native
AL1,30-07-2013,180,1.94,Albizia lebbeck,Native,Native
AL1,30-09-2013,240,1.49,Albizia lebbeck,Native,Native
AL1,30-11-2013,300,1.21,Albizia lebbeck,Native,Native
AL1,24-01-2014,376,0.92,Albizia lebbeck,Native,Native
AL2,01-02-2013,0,4.5,Albizia lebbeck,Native,Native
AL2,01-04-2013,60,3.55,Albizia lebbeck,Native,Native
AL2,31-05-2013,120,2.79,Albizia lebbeck,Native,Native
AL2,30-07-2013,180,2.01,Albizia lebbeck,Native,Native
AL2,30-09-2013,240,1.57,Albizia lebbeck,Native,Native
AL2,30-11-2013,300,1.15,Albizia lebbeck,Native,Native
AL2,24-01-2014,376,0.87,Albizia lebbeck,Native,Native
AL3,01-02-2013,0,4.5,Albizia lebbeck,Native,Native
AL3,01-04-2013,60,3.44,Albizia lebbeck,Native,Native
AL3,31-05-2013,120,2.64,Albizia lebbeck,Native,Native
AL3,30-07-2013,180,1.98,Albizia lebbeck,Native,Native
AL3,30-09-2013,240,1.62,Albizia lebbeck,Native,Native
AL3,30-11-2013,300,1.19,Albizia lebbeck,Native,Native
AL3,24-01-2014,376,0.81,Albizia lebbeck,Native,Native
Ai1,01-02-2013,0,4.8,Azadirachta indica,Native,Native
Ai1,01-04-2013,60,3.57,Azadirachta indica,Native,Native
Ai1,31-05-2013,120,2.39,Azadirachta indica,Native,Native
Ai1,30-07-2013,180,1.85,Azadirachta indica,Native,Native
Ai1,30-09-2013,240,1.2,Azadirachta indica,Native,Native
Ai1,30-11-2013,300,1,Azadirachta indica,Native,Native
Ai1,24-01-2014,376,0.7,Azadirachta indica,Native,Native
Ai2,01-02-2013,0,4.7,Azadirachta indica,Native,Native
Ai2,01-04-2013,60,3.44,Azadirachta indica,Native,Native
Ai2,31-05-2013,120,2.59,Azadirachta indica,Native,Native
Ai2,30-07-2013,180,2.39,Azadirachta indica,Native,Native
Ai2,30-09-2013,240,1.43,Azadirachta indica,Native,Native
Ai2,30-11-2013,300,0.78,Azadirachta indica,Native,Native
