runtime,imdb_rating,imdb_num_votes,critics_rating,critics_score,audience_rating,audience_score
80,5.5,899,Rotten,45,Upright,73
101,7.3,12285,Certified Fresh,96,Upright,81
84,7.6,22381,Certified Fresh,91,Upright,91
139,7.2,35096,Certified Fresh,80,Upright,76
90,5.1,2386,Rotten,33,Spilled,27
78,7.8,333,Fresh,91,Upright,86
142,7.2,5016,Rotten,57,Upright,76
93,5.5,2272,Rotten,17,Spilled,47
88,7.5,880,Fresh,90,Upright,89
119,6.6,12496,Certified Fresh,83,Upright,66
127,6.8,71979,Certified Fresh,89,Upright,75
108,6,9669,Fresh,67,Spilled,46
110,7.6,201779,Certified Fresh,80,Upright,89
100,5.9,25808,Rotten,25,Spilled,53
111,3.6,5544,Rotten,15,Spilled,36
96,7,240033,Certified Fresh,78,Upright,64
140,7.2,66489,Rotten,54,Upright,80
106,6.9,6336,Fresh,61,Upright,92
91,4.4,37769,Rotten,19,Spilled,24
90,3.6,21268,Rotten,29,Spilled,19
124,7,56201,Rotten,40,Upright,73
82,7.6,3459,Fresh,92,Upright,86
107,6.2,16717,Fresh,66,Spilled,42
116,6.2,9357,Rotten,47,Upright,71
87,7.6,4541,Certified Fresh,79,Upright,77
97,5.3,1816,Rotten,40,Spilled,41
178,7.1,163490,Rotten,51,Upright,81
84,5.6,19285,Certified Fresh,77,Spilled,43
115,6.4,3688,Fresh,91,Upright,61
100,7.9,3488,Fresh,92,Upright,91
85,7.1,82851,Certified Fresh,91,Upright,71
87,7,56128,Fresh,68,Upright,77
85,7.7,33101,Fresh,69,Upright,85
124,7.1,259822,Fresh,69,Upright,70
112,6.6,4908,Rotten,40,Spilled,57
108,6.5,290356,Rotten,52,Spilled,55
135,7,47297,Certified Fresh,76,Upright,70
115,6.1,2145,Rotten,13,Spilled,51
137,8.4,466400,Certified Fresh,98,Upright,94
99,7.4,69338,Certified Fresh,81,Upright,81
106,6.6,6228,Fresh,69,Upright,64
130,7.8,75468,Fresh,90,Upright,88
98,6.5,48519,Rotten,21,Upright,64
94,5.4,13523,Rotten,57,Spilled,40
154,7.8,58668,Fresh,88,Upright,94
113,6.5,9654,Rotten,54,Upright,62
115,6.7,22079,Fresh,67,Upright,64
135,6.7,5258,Rotten,50,Spilled,49
106,2.7,761,Rotten,17,Spilled,17
125,6.2,33839,Rotten,35,Spilled,40
65,7.3,183,Fresh,73,Upright,88
123,7.7,225130,Rotten,27,Upright,75
119,6.5,62241,Rotten,52,Spilled,56
120,6.6,19714,Rotten,34,Spilled,52
162,7.4,137126,Certified Fresh,84,Upright,83
140,6.8,10468,Rotten,44,Upright,72
115,6.5,37770,Rotten,46,Spilled,59
102,5.5,1628,Rotten,56,Spilled,38
79,5.5,5587,Rotten,6,Spilled,35
108,6.4,6247,Fresh,64,Spilled,43
98,6.3,8646,Certified Fresh,81,Spilled,54
100,6,8320,Rotten,50,Spilled,44
106,8.5,2362,Certified Fresh,96,Upright,96
92,7.8,1942,Certified Fresh,96,Upright,89
115,6.6,110238,Rotten,43,Spilled,58
87,4.4,21501,Rotten,12,Spilled,52
103,8.1,14359,Fresh,100,Upright,90
127,6.5,12450,Fresh,75,Spilled,55
90,6.4,21704,Fresh,63,Spilled,52
119,7.2,4375,Rotten,40,Upright,85
135,6.2,48324,Rotten,40,Spilled,43
91,5.5,4768,Rotten,13,Spilled,30
101,5.9,2944,Rotten,24,Spilled,38
93,6.8,6788,Fresh,79,Upright,75
101,6.5,24783,Fresh,65,Spilled,55
130,6,3745,Rotten,54,Spilled,39
101,6.4,54726,Rotten,48,Spilled,59
99,5.9,1493,Rotten,59,Spilled,47
100,4.4,5616,Rotten,21,Spilled,24
106,7.6,10492,Fresh,96,Upright,87
116,7.3,4451,Fresh,60,Upright,83
90,6.8,12269,Fresh,71,Upright,81
117,5.7,60335,Rotten,32,Spilled,35
83,5.5,5035,Rotten,29,Spilled,34
140,8.2,315051,Certified Fresh,82,Upright,92
106,5.9,82737,Rotten,42,Spilled,55
94,6.1,4944,Fresh,70,Spilled,54
91,3.6,8229,Rotten,17,Spilled,14
108,6.8,4516,Fresh,92,Upright,76
100,5.7,7858,Rotten,9,Spilled,40
126,7.4,10938,Certified Fresh,84,Upright,82
107,7.8,279704,Certified Fresh,78,Upright,87
94,5.8,11192,Fresh,78,Spilled,41
94,6.2,3851,Rotten,40,Upright,75
97,5.8,1838,Fresh,71,Spilled,43
109,6.2,6552,Rotten,50,Spilled,52
104,5.7,390,Rotten,29,Spilled,25
117,7.2,68429,Fresh,62,Upright,74
93,8.1,182983,Certified Fresh,98,Upright,93
132,8,1147,Fresh,95,Upright,90
